issue_day,issuing_agency,violations_count,amount_due
2014-06-29,Unknown,1,0.0
2014-07-30,Unknown,1,0.0
2014-09-28,Unknown,1,0.0
2014-10-25,Unknown,1,0.0
2014-10-26,Unknown,1,0.0
2014-10-30,Unknown,1,0.0
2023-12-17,DEPARTMENT OF TRANSPORTATION,10,0.0
2023-12-17,TRAFFIC,2,0.0
2023-12-18,DEPARTMENT OF TRANSPORTATION,581,0.0
2023-12-18,TRAFFIC,36,0.0
2023-12-19,DEPARTMENT OF TRANSPORTATION,619,0.0
2023-12-19,TRAFFIC,57,0.0
2023-12-20,DEPARTMENT OF TRANSPORTATION,634,0.0
2023-12-20,TRAFFIC,41,0.0
2023-12-21,DEPARTMENT OF TRANSPORTATION,638,0.0
2023-12-21,TRAFFIC,38,0.0
2023-12-22,DEPARTMENT OF TRANSPORTATION,652,0.0
2023-12-22,TRAFFIC,38,0.0
2023-12-22,POLICE DEPARTMENT,5,0.0
2023-12-23,DEPARTMENT OF TRANSPORTATION,312,0.0
2023-12-23,TRAFFIC,33,0.0
2023-12-23,PARKS DEPARTMENT,2,0.0
2023-12-23,POLICE DEPARTMENT,2,0.0
2023-12-24,DEPARTMENT OF TRANSPORTATION,238,0.0
2023-12-24,TRAFFIC,28,0.0
2023-12-24,POLICE DEPARTMENT,1,0.0
2023-12-25,TRAFFIC,20,0.0
2023-12-25,PARKS DEPARTMENT,1,0.0
2023-12-26,DEPARTMENT OF TRANSPORTATION,579,0.0
2023-12-26,TRAFFIC,39,0.0
2023-12-26,POLICE DEPARTMENT,2,0.0
2023-12-27,DEPARTMENT OF TRANSPORTATION,658,0.0
2023-12-27,TRAFFIC,28,0.0
2023-12-28,DEPARTMENT OF TRANSPORTATION,645,0.0
2023-12-28,TRAFFIC,16,0.0
2023-12-29,DEPARTMENT OF TRANSPORTATION,698,0.0
2023-12-29,TRAFFIC,36,0.0
2023-12-29,PARKS DEPARTMENT,2,0.0
2023-12-29,POLICE DEPARTMENT,1,0.0
2023-12-30,DEPARTMENT OF TRANSPORTATION,313,125.0
2023-12-30,TRAFFIC,25,0.0
2023-12-31,DEPARTMENT OF TRANSPORTATION,266,0.0
