report_date,records,total_amount_due,camera_records
2026-05-07,50000,636.94,0
2026-05-08,50000,636.94,0
2026-05-09,50000,636.94,0
2026-05-10,50000,636.94,0
2026-05-11,50000,636.94,0
2026-05-12,50000,636.94,0
2026-05-13,50000,636.94,0
2026-05-14,50000,636.94,0
2026-05-15,50000,636.94,0
2026-05-16,50000,636.94,0
2026-05-17,50000,636.94,0
2026-05-18,50000,636.94,0
2026-05-19,50000,636.94,0
2026-05-20,50000,636.94,0
2026-05-21,50000,636.94,0
2026-05-22,50000,636.94,0
2026-05-23,50000,636.94,0
2026-05-24,50000,636.94,0
2026-05-25,50000,636.94,0
2026-05-28,50000,636.94,0
2026-05-29,50000,636.94,0
2026-05-30,50000,636.94,0
2026-05-31,50000,636.94,0
2026-06-01,50000,636.94,0
2026-06-02,50000,636.94,0
2026-06-03,50000,636.94,0
2026-06-04,50000,636.94,0
2026-06-05,50000,636.94,0
2026-06-06,50000,636.94,0
2026-06-07,50000,636.94,0
2026-06-08,50000,636.94,0
2026-06-09,50000,636.94,0
2026-06-10,50000,636.94,0
2026-06-11,50000,636.94,0
2026-06-12,50000,636.94,0
2026-06-13,50000,636.94,0
2026-06-14,50000,636.94,0
2026-06-15,50000,636.94,0
2026-06-16,50000,636.94,0
2026-06-17,50000,636.94,0
2026-06-18,50000,636.94,0
2026-06-19,50000,636.94,0
2026-06-20,50000,636.94,0
2026-06-21,50000,636.94,0
2026-06-22,50000,636.94,0
2026-06-23,50000,636.94,0
2026-06-24,50000,636.94,0
2026-06-25,50000,636.94,0
2026-06-26,50000,636.94,0
2026-06-27,50000,636.94,0
2026-06-28,50000,636.94,0
2026-06-29,50000,636.94,0
2026-06-30,50000,636.94,0
2026-07-01,50000,636.94,0
2026-07-02,50000,636.94,0
2026-07-03,50000,636.94,0
2026-07-04,50000,636.94,0
2026-07-05,50000,636.94,0
2026-07-06,50000,636.94,0
2026-07-07,50000,636.94,0
2026-07-08,50000,636.94,0
2026-07-09,50000,636.94,0
2026-07-10,50000,636.94,0
