issue_day,violations_count,amount_due,payments,rolling_7d_count,rolling_7d_amount_due
2014-06-29,1,0.0,0.0,1.0,0.0
2014-07-30,1,0.0,0.0,1.0,0.0
2014-09-28,1,0.0,0.0,1.0,0.0
2014-10-25,1,0.0,0.0,1.0,0.0
2014-10-26,1,0.0,0.0,1.0,0.0
2014-10-30,1,0.0,0.0,1.0,0.0
2023-12-17,12,0.0,740.0,2.5714285714285716,0.0
2023-12-18,617,0.0,63377.38,90.57142857142857,0.0
2023-12-19,676,0.0,71343.23,187.0,0.0
2023-12-20,676,0.0,67436.94,283.42857142857144,0.0
2023-12-21,677,0.0,67748.39,380.0,0.0
2023-12-22,698,0.0,69129.16,479.57142857142856,0.0
2023-12-23,349,0.0,30784.59,529.2857142857143,0.0
2023-12-24,267,0.0,24893.44,565.7142857142857,0.0
2023-12-25,21,0.0,2375.09,480.57142857142856,0.0
2023-12-26,620,0.0,64060.87,472.57142857142856,0.0
2023-12-27,686,0.0,70873.17,474.0,0.0
2023-12-28,661,0.0,66913.42,471.7142857142857,0.0
2023-12-29,739,0.0,74951.61,477.57142857142856,0.0
2023-12-30,338,125.0,31251.47,476.0,17.857142857142858
2023-12-31,302,0.0,25615.13,481.0,17.857142857142858
2024-01-01,14,0.0,1455.0,480.0,17.857142857142858
2024-01-02,561,0.0,56695.88,471.57142857142856,17.857142857142858
2024-01-03,663,0.0,69407.68,468.2857142857143,17.857142857142858
2024-01-04,604,0.0,66983.84,460.14285714285717,17.857142857142858
2024-01-05,547,0.0,57033.840000000004,432.7142857142857,17.857142857142858
2024-01-06,226,0.0,21666.55,416.7142857142857,0.0
2024-01-07,237,0.0,21380.83,407.42857142857144,0.0
2024-01-08,586,0.0,52800.7,489.14285714285717,0.0
2024-01-09,627,0.0,62536.32,498.57142857142856,0.0
2024-01-10,692,0.0,69866.63,502.7142857142857,0.0
2024-01-11,697,0.0,71247.94,516.0,0.0
2024-01-12,766,0.0,79868.23,547.2857142857143,0.0
2024-01-13,358,0.0,32629.57,566.1428571428571,0.0
2024-01-14,310,0.0,25268.45,576.5714285714286,0.0
2024-01-15,720,0.0,63505.8,595.7142857142857,0.0
2024-01-16,648,0.0,65939.88,598.7142857142857,0.0
2024-01-17,599,0.0,57305.78,585.4285714285714,0.0
2024-01-18,605,0.0,55419.82,572.2857142857143,0.0
2024-01-19,720,0.0,66537.26,565.7142857142857,0.0
2024-01-20,270,0.0,24491.46,553.1428571428571,0.0
2024-01-21,261,0.0,22656.07,546.1428571428571,0.0
2024-01-22,560,0.0,54947.52,523.2857142857143,0.0
2024-01-23,569,0.0,54704.05,512.0,0.0
2024-01-24,752,0.0,70666.87,533.8571428571429,0.0
2024-01-25,552,0.0,49657.58,526.2857142857143,0.0
2024-01-26,758,0.0,71206.28,531.7142857142857,0.0
2024-01-27,276,0.0,24825.87,532.5714285714286,0.0
2024-01-28,234,0.0,18766.01,528.7142857142857,0.0
2024-01-29,660,0.0,60132.05,543.0,0.0
2024-01-30,602,0.0,57693.46,547.7142857142857,0.0
2024-01-31,613,0.0,61670.78,527.8571428571429,0.0
2024-02-01,636,0.0,57155.78,539.8571428571429,0.0
2024-02-02,683,0.0,62806.39,529.1428571428571,0.0
2024-02-03,291,0.0,26510.56,531.2857142857143,0.0
2024-02-04,230,0.0,20130.12,530.7142857142857,0.0
2024-02-05,559,0.0,53950.92,516.2857142857143,0.0
2024-02-06,456,0.0,46000.06,495.42857142857144,0.0
2024-02-07,512,0.0,56360.0,481.0,0.0
2024-02-08,532,0.0,57490.66,466.14285714285717,0.0
2024-02-09,565,0.0,60490.0,449.2857142857143,0.0
2024-02-10,221,0.0,20985.0,439.2857142857143,0.0
2024-02-11,255,0.0,20425.0,442.85714285714283,0.0
2024-02-12,559,0.0,59940.0,442.85714285714283,0.0
2024-02-13,362,0.0,37350.0,429.42857142857144,0.0
2024-02-14,490,0.0,46610.0,426.2857142857143,0.0
2024-02-15,537,0.0,53515.0,427.0,0.0
2024-02-16,584,0.0,59810.0,429.7142857142857,0.0
2024-02-17,187,0.0,15820.0,424.85714285714283,0.0
2024-02-18,195,0.0,16580.0,416.2857142857143,0.0
2024-02-19,492,0.0,43585.0,406.7142857142857,0.0
2024-02-20,398,0.0,43785.0,411.85714285714283,0.0
2024-02-21,479,0.0,50475.0,410.2857142857143,0.0
2024-02-22,483,0.0,49075.0,402.57142857142856,0.0
2024-02-23,588,0.0,60250.0,403.14285714285717,0.0
2024-02-24,258,0.0,23490.0,413.2857142857143,0.0
2024-02-25,167,0.0,17625.0,409.2857142857143,0.0
2024-02-26,479,0.0,49855.0,407.42857142857144,0.0
2024-02-27,445,0.0,48420.0,414.14285714285717,0.0
2024-02-28,505,0.0,52820.0,417.85714285714283,0.0
2024-02-29,519,0.0,49600.0,423.0,0.0
2024-03-01,536,0.0,48155.0,415.57142857142856,0.0
2024-03-02,229,0.0,20955.0,411.42857142857144,0.0
2024-03-03,207,0.0,18215.0,417.14285714285717,0.0
2024-03-04,503,0.0,52010.0,420.57142857142856,0.0
2024-03-05,453,0.0,45905.0,421.7142857142857,0.0
2024-03-06,403,0.0,41790.0,407.14285714285717,0.0
2024-03-07,478,0.0,49835.0,401.2857142857143,0.0
2024-03-08,434,0.0,44390.0,386.7142857142857,0.0
2024-03-09,188,0.0,17690.0,380.85714285714283,0.0
2024-03-10,193,0.0,16805.0,378.85714285714283,0.0
2024-03-11,420,0.0,43575.0,367.0,0.0
2024-03-12,412,0.0,44400.0,361.14285714285717,0.0
2024-03-13,378,0.0,40450.0,357.57142857142856,0.0
2024-03-14,414,0.0,47150.0,348.42857142857144,0.0
2024-03-15,426,0.0,44430.0,347.2857142857143,0.0
2024-03-16,170,0.0,15590.0,344.7142857142857,0.0
2024-03-17,145,0.0,11925.0,337.85714285714283,0.0
2024-03-18,349,0.0,38755.0,327.7142857142857,0.0
