issue_day,violation,violations_count,amount_due
2023-12-17,MOBILE BUS LANE VIOLATION,11,0.0
2023-12-17,NO STAND TAXI/FHV RELIEF STAND,1,0.0
2023-12-18,MOBILE BUS LANE VIOLATION,580,0.0
2023-12-18,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2023-12-18,FRAUDULENT USE PARKING PERMIT,7,0.0
2023-12-18,MISUSE PARKING PERMIT,6,0.0
2023-12-19,MOBILE BUS LANE VIOLATION,605,0.0
2023-12-19,MISUSE PARKING PERMIT,17,0.0
2023-12-19,NO STAND TAXI/FHV RELIEF STAND,17,0.0
2023-12-19,FRAUDULENT USE PARKING PERMIT,11,0.0
2023-12-19,NO PARKING-EXC. DSBLTY PERMIT,6,0.0
2023-12-20,MOBILE BUS LANE VIOLATION,629,0.0
2023-12-20,MISUSE PARKING PERMIT,13,0.0
2023-12-20,NO STAND TAXI/FHV RELIEF STAND,12,0.0
2023-12-20,NO PARKING-EXC. DSBLTY PERMIT,9,0.0
2023-12-20,FRAUDULENT USE PARKING PERMIT,1,0.0
2023-12-21,MOBILE BUS LANE VIOLATION,633,0.0
2023-12-21,MISUSE PARKING PERMIT,14,0.0
2023-12-21,FRAUDULENT USE PARKING PERMIT,9,0.0
2023-12-21,NO PARKING-EXC. DSBLTY PERMIT,6,0.0
2023-12-21,NO STAND TAXI/FHV RELIEF STAND,5,0.0
2023-12-22,MOBILE BUS LANE VIOLATION,648,0.0
2023-12-22,NO STAND TAXI/FHV RELIEF STAND,12,0.0
2023-12-22,NO PARKING-EXC. DSBLTY PERMIT,11,0.0
2023-12-22,MISUSE PARKING PERMIT,10,0.0
2023-12-22,FRAUDULENT USE PARKING PERMIT,4,0.0
2023-12-23,MOBILE BUS LANE VIOLATION,312,0.0
2023-12-23,NO STAND TAXI/FHV RELIEF STAND,21,0.0
2023-12-23,MISUSE PARKING PERMIT,8,0.0
2023-12-23,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2023-12-23,FRAUDULENT USE PARKING PERMIT,3,0.0
2023-12-24,MOBILE BUS LANE VIOLATION,236,0.0
2023-12-24,NO STAND TAXI/FHV RELIEF STAND,23,0.0
2023-12-24,MISUSE PARKING PERMIT,2,0.0
2023-12-24,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2023-12-25,NO STAND TAXI/FHV RELIEF STAND,18,0.0
2023-12-25,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2023-12-25,MISUSE PARKING PERMIT,1,0.0
2023-12-26,MOBILE BUS LANE VIOLATION,572,0.0
2023-12-26,MISUSE PARKING PERMIT,15,0.0
2023-12-26,NO STAND TAXI/FHV RELIEF STAND,9,0.0
2023-12-26,FRAUDULENT USE PARKING PERMIT,5,0.0
2023-12-26,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2023-12-27,MOBILE BUS LANE VIOLATION,656,0.0
2023-12-27,NO PARKING-EXC. DSBLTY PERMIT,12,0.0
2023-12-27,NO STAND TAXI/FHV RELIEF STAND,5,0.0
2023-12-27,MISUSE PARKING PERMIT,4,0.0
2023-12-27,FRAUDULENT USE PARKING PERMIT,2,0.0
2023-12-28,MOBILE BUS LANE VIOLATION,640,0.0
2023-12-28,MISUSE PARKING PERMIT,4,0.0
2023-12-28,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2023-12-28,NO STAND TAXI/FHV RELIEF STAND,3,0.0
2023-12-28,FRAUDULENT USE PARKING PERMIT,2,0.0
2023-12-29,MOBILE BUS LANE VIOLATION,691,0.0
2023-12-29,FRAUDULENT USE PARKING PERMIT,12,0.0
2023-12-29,NO STAND TAXI/FHV RELIEF STAND,10,0.0
2023-12-29,NO PARKING-EXC. DSBLTY PERMIT,9,0.0
2023-12-29,MISUSE PARKING PERMIT,2,0.0
2023-12-30,MOBILE BUS LANE VIOLATION,313,125.0
2023-12-30,NO STAND TAXI/FHV RELIEF STAND,13,0.0
2023-12-30,MISUSE PARKING PERMIT,3,0.0
2023-12-30,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2023-12-30,FRAUDULENT USE PARKING PERMIT,1,0.0
2023-12-31,MOBILE BUS LANE VIOLATION,266,0.0
2023-12-31,NO STAND TAXI/FHV RELIEF STAND,31,0.0
2023-12-31,MISUSE PARKING PERMIT,4,0.0
2024-01-01,NO STAND TAXI/FHV RELIEF STAND,10,0.0
2024-01-01,MISUSE PARKING PERMIT,2,0.0
2024-01-02,MOBILE BUS LANE VIOLATION,522,0.0
2024-01-02,MISUSE PARKING PERMIT,18,0.0
2024-01-02,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-01-02,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-01-02,NO STAND TAXI/FHV RELIEF STAND,2,0.0
2024-01-03,MOBILE BUS LANE VIOLATION,624,0.0
2024-01-03,MISUSE PARKING PERMIT,11,0.0
2024-01-03,NO PARKING-EXC. DSBLTY PERMIT,10,0.0
2024-01-03,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-01-03,FRAUDULENT USE PARKING PERMIT,5,0.0
2024-01-04,MOBILE BUS LANE VIOLATION,564,0.0
2024-01-04,MISUSE PARKING PERMIT,9,0.0
2024-01-04,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-01-04,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-01-04,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-01-05,MOBILE BUS LANE VIOLATION,502,0.0
2024-01-05,NO STAND TAXI/FHV RELIEF STAND,12,0.0
2024-01-05,MISUSE PARKING PERMIT,10,0.0
2024-01-05,FRAUDULENT USE PARKING PERMIT,7,0.0
2024-01-05,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-01-06,MOBILE BUS LANE VIOLATION,189,0.0
2024-01-06,NO STAND TAXI/FHV RELIEF STAND,22,0.0
2024-01-06,NO PARKING-EXC. DSBLTY PERMIT,6,0.0
2024-01-06,FRAUDULENT USE PARKING PERMIT,3,0.0
