summons_number,issue_date,violation,fine_amount,penalty_amount,interest_amount,payment_amount,amount_due,county,issuing_agency,is_camera_violation,report_date
3207068327,2097-12-11,NO PARKING-EXC. DSBLTY PERMIT,55.0,60.0,0.0,115.0,0.0,Q,POLICE DEPARTMENT,False,2026-08-22
2171221069,2096-02-06,NO PARKING-EXC. DSBLTY PERMIT,30.0,30.0,132.16,0.0,191.94,K,POLICE DEPARTMENT,False,2026-08-22
1425880058,2071-10-31,NO PARKING-EXC. DSBLTY PERMIT,180.0,0.0,0.0,0.0,0.0,BX,POLICE DEPARTMENT,False,2026-08-22
1406838263,2063-10-08,NO PARKING-EXC. DSBLTY PERMIT,180.0,10.0,0.0,180.0,0.0,K,POLICE DEPARTMENT,False,2026-08-22
1487516150,2028-05-08,NO PARKING-EXC. DSBLTY PERMIT,180.0,60.0,0.12,240.0,0.0,BX,PARKS DEPARTMENT,False,2026-08-22
1452055555,2025-07-27,NO PARKING-EXC. DSBLTY PERMIT,180.0,10.0,0.0,0.0,0.0,NY,NYS PARKS POLICE,False,2026-08-22
1478498791,2024-09-11,NO PARKING-EXC. DSBLTY PERMIT,180.0,0.0,0.0,0.0,0.0,BX,CON RAIL,False,2026-08-22
8924085591,2024-05-06,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,NY,TRAFFIC,False,2026-08-22
9128110390,2024-05-06,NO STANDING-FOR HIRE VEH STND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9117498843,2024-05-04,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9118814414,2024-05-03,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,K,TRAFFIC,False,2026-08-22
9122048820,2024-05-03,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,NY,TRAFFIC,False,2026-08-22
9122563489,2024-05-03,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9118208782,2024-05-02,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9121892805,2024-05-02,NO PARKING-EXC. DSBLTY PERMIT,180.0,0.0,0.0,180.0,0.0,K,TRAFFIC,False,2026-08-22
9122843206,2024-05-02,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9123006675,2024-05-02,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9124219599,2024-05-02,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,K,TRAFFIC,False,2026-08-22
9124305935,2024-05-02,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9124534006,2024-05-02,NO STANDING-FOR HIRE VEH STND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9124700990,2024-05-02,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9126751033,2024-05-02,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9127420450,2024-05-02,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,Q,TRAFFIC,False,2026-08-22
